ID,TITLE,PRICE,BRAND,STRING_CONGIGURATION,MODEL_YEAR,SHIPPING_NUM,SELLER_NUM
304061830973,Esp E- Viper B,"6,071.17",esp,na,na,1,1
274863993670,Coming Soonnn,226.58,unknown,unknown,unknown,9,9
304061830949,Legacy Clf071245,"7,090.13",g,na,na,1,1
274863994207,Coming Soonnnn,226.58,unknown,unknown,unknown,9,10
324710660803,RARE Hottie Super Strat Black/Green Quilt Top With Multi Color Binding,"1,081.18",hottie,6,,10,11
284367761501,"Handwired JMP 67-68 1959 Super Lead 100W Turret Board,Sozo,Mallory,Alan Bradley",901.01,unbranded,,,11,12
224530248675,Rare Original Ibanez Universe 7-String (UV777P) - Steve V,,ibanez,7,1998,3,3
265226345403,Kalamazoo KG-11 1930s Acoustic guitar,"12,412.38",kalamazoo,,,12,13
393436974802,nelectro '59,"1,939.76",,,,13,14
324710610202,FENDER EXCRUSIVE MUSTANG Electric Guitar w/Soft case Free Shipping JP,"3,564.04",fender,6,,14,15
124807229780,1980's CHARVEL SAN DIMAS NECK - made in USA,"6,487.27",charvel,,,15,16
384269979255,Electric Guitar Mondolin Style 8-string Good Quality,717.53,unbranded,8,2021,16,17
174835804445,FENDER TELECASTER THINLINE '72,"2,518.96",,,,17,6
194236685967,Les Paul Guitar Body,,les,,,18,18
194236732133,FERNANDES JAPAN ANNI 90 MANCINA LEFT,,,,,19,19
124807126325,Jackson RRXMG Randy-V Guitar White Black Pinstripes EMG Pickup Floyd R,"3,492.61",jackson,6,,20,20
324710617249,fender squier stratocaster with c,"1,146.74",squier,,2008,21,21
393437448521,Sawtooth Left Handed ST Style Electric Guitar Sunburst w/Vintage White Pickgu...,551.32,sawtooth,,,22,22
174835672604,Custom Hand painted Epiphone SG Special Guitar - Psychedelic swir,"1,474.38",epiphone,6,,23,23
124806986610,GIBSON HOWARD ROBERTS - made in USA,"15,636.81",gibso,,,24,6
353570423605,Fender Musicmaster Duo Sonic Mustang guitar Hard Case 1964 1965 1966 1967,475.05,fender,,,25,24
274863993125,Coming Soonn,226.58,unknown,unknown,unknown,9,10
304061831075,Zemaitis Zvw22 Eb Wz190390,"4,370.72",zemaitis,na,na,1,1
304061830937,Gibson Lespaul Traditional 2017 170065646,"6,683.86",gibson,na,na,1,1
164954401831,Guitarre electrique Yamaha Pacifica 303 12 string,,,,,26,25
124807229770,1968 GIBSON ES 335 / 12 STRING - made in USA - NARROW NECK,"16,218.18",gibson,12,,27,16
124806960188,1988 FENDER STRATOCASTER '57 AVRI REISSUE - made in USA - HANK STYLE,"8,746.39",,,,28,16
274863992620,Coming Soon,226.58,unknown,unknown,unknown,9,10
265226902324,Chantry Electric Guitar Strat Stratocaster Blue Burst Finish,,chantry,,,29,26
194236452549,Vintage Vox Clubman Bass Guitar Neck,,vox,,,30,27
255049883955,"Jackson Soloist SLX Electric Guitar,Neck Threw/Green Crackle,Graphics&SKB Case..","1,864.27",jackson,6,2018,31,28
324710100349,Squier Stratocaster 1983 Black MIJ JVserial all Black,,squier,6,1989,32,29
304061830828,Seventy Seven Albatross Skr-Sp21 A21-0003,"11,244.61",seventy,na,na,1,1
304061830890,Mosrite Super Custom 65,"8,502.26",mosrite,na,na,1,1
384263326070,Yamaha Session Ii Traditional Custom 903P,"2,075.70",yamaha,na,na,2,2
304061830824,Aria Pro Vm-2013 14010006,"11,922.82",aria,na,na,1,1
284367787662,Yamaha Pacifica Electric Guitar SSH Black,448.71,yamaha,,,3,3
304061830967,Edwards Kikumaru Guitar E-Se-Kikumaru Ed1412681,"6,683.86",edwards,na,na,1,1
274862443936,guitar Shipped from Japan Good condition Free shipping,"2,483.48",aria,,,4,4
265225947751,FERNANDES THE FUNCTION ST TYPE,"1,304.01",fernandes,,,5,5
384269548160,By sound! Around 1980 Yamaha SF-5000 used Sunburst electric guitar Japan,"2,526.10",yamaha,,,6,6
265225957378,Zemaitis A24SU SAPPHIRE,"5,419.17",zemaitis,,,5,5
124807169955,1984 SQUIER by FENDER  BULLET STRAT - KAHLER USA TREMOLO,"2,429.55",,,,7,7
144109893983,Stagg Guitar,543.89,stagg,,,8,8
274862443927,Fender Fender guitar Shipped from Japan Good condition Free shipping,"6,192.36",fender,,,4,9
304061831022,History Sh-Premium E0901384,"4,793.37",history,na,na,1,1
304061830888,Esp E- Arrow Es643173,"7,709.37",esp,na,na,1,1
304061830912,Esp E- Stbk Es1530448,"7,709.37",esp,na,na,1,1
294267839156,Fernandes Apg 039018,"2,230.21",fernandes,na,na,9,10
255049129867,Gretsch 6128-57 Duo-J,"6,428.30",gretsch,,,5,5
304061831008,Gibson Lespaul Jr 2019 119790176,"5,212.75",gibson,na,na,1,1
174835767024,1980 BC RICH BICH - made in USA,"4,750.78",bc,,,10,7
274863784696,Refurbished fender squier david guilmoure tribute inc guilmour mod + tone mod,,fender,6,,11,11
274863479077,Fender Japan Char Mustang Olympic Wh,"6,074.41",fender,,,4,9
124806978976,BIG BLACK BEAST,"1,006.81",,,,12,7
265226351199,National Style-O '31 Acoustic guitar,"14,465.24",national,,,13,12
384263325809,Bacchus Windy 128656,"2,566.08",bacchus,na,na,2,2
274862445424,Fender JAPAN ST62QT AQUA,"4,216.69",fender,,,4,4
194236653190,Yamaha Sc 800,"5,856.70",,,,14,13
274863479118,Fender Japan Char Mustang Olympic Wh,"6,074.41",fender,,,4,4
