ID,TITLE,PRICE,BRAND,STRING_CONGIGURATION,MODEL_YEAR,SHIPPING_NUM,SELLER_NUM
274862443898,179175 Paul Reed Smith(PRS) SE ONE Mahogany,"3,273.09",prs,,,6,6
304061831022,History Sh-Premium E0901384,"4,793.37",history,na,na,1,1
254720866274,Westville Water,"16,496.68",westville,,,4,4
194236141725,valuable! Fender ST68-185YM Yngwie fender Japan,"7,027.72",fender,,,3,3
274862447698,guitar Shipped from Japan Good condition Free shipping,"2,005.12",aria,,,6,6
274862447730,guitar Shipped from Japan Good condition Free shipping,"2,005.12",aria,,,6,6
304061830893,Esp Mv S1151604,"7,709.37",esp,na,na,1,1
304061830968,Godin Stadium59 18316125,"6,277.58",godin,na,na,1,1
255043951006,HISTORY TH-LC,"5,055.49",history,,,2,2
304062196361,YAMAHA PAC120H,,yamaha,6,unknown,3,3
274862447691,guitar Shipped from Japan Good condition Free shipping,"2,005.12",aria,,,4,4
203515934003,Ibanez J-Line Talman Tm730 -Bk- Made In Japan 48 Times No Interest On Shopping,"5,481.48",ibanez,na,na,5,5
274862447704,guitar Shipped from Japan Good condition Free shipping,"2,273.79",aria,,,4,4
304061831010,Gretsch G5655T Csg,"4,875.28",gretsch,na,na,1,1
304061831083,Bacchus T-Standard /Oil 105899,"3,646.63",bacchus,na,na,1,1
304061830842,Gibson Es-335 Dot 90035532,"10,353.43",gibson,na,na,1,1
114884929844,Secondhand Epiphone Lp-Std Lemon Sunburst Electric Guitar Les Paul/ Natur,"3,643.39",no,na,na,6,6
274862447751,Epiphone ALLEYKAT  Remodeled  With soft case  Second-hand good,"2,706.27",epiphone,,,4,4
274862446452,guitar Shipped from Japan Good condition Free shipping,"2,496.58",aria,,,4,4
274862445401,guitar Shipped from Japan Good condition Free shipping,"2,391.74",greco,,,4,4
274862447651,guitar Shipped from Japan Good condition Free shipping,"2,273.79",aria,,,4,4
274862447689,guitar Shipped from Japan Good condition Free shipping,"2,381.91",aria,,,4,4
274862447758,guitar Shipped from Japan Good condition Free shipping,"2,273.79",aria,,,4,4
265225247868,Fender: ISHIBASHI FSR Japan Traditional 60S TL Custom Rosewood Black,,fender,6,n/a,7,7
274863479173,Fender JAPAN Stratocaster Stratocaster,"3,718.68",fender,,,4,4
304061830901,Momose Jmtype Mjm 7045,"7,709.37",momose,na,na,1,1
265224903264,Ormsby Guitars HYPE7 Aged Blue Copper Graphic,"5,831.99",ormsby,,,2,8
274863479029,FERNANDES Stratocaster SSH Black,"2,014.95",fernandez,,,4,4
274862446395,Ibanez  RG421QM / SPB (Saphire Blue) / 2014 / Hard,"2,598.15",ibanez,,,4,4
265226342491,GUILD ARTIST AWARD Acoustic guitar,"26,803.25",guild,,,8,9
